# ---- run log preserved by tools/keeplog.sh ----
# run:      arris2-off
# source:   /tmp/claude-0/-home-user-Demo/94022f73-a328-5e86-b2ec-031aa9c720ce/scratchpad/arris2-off.log
# copied:   2026-08-03T12:01:20Z
# tree at copy time (NOT the run's build): 76611f2 — working tree DIRTY
#   For the commit this run actually rendered, read shots/arris2-off/report.json or arris2-off.json.
# NOTE: this is a COPY. The scratchpad original is ephemeral and may already be gone.
# ------------------------------------------------
· waiting for capture lock (10s, held by pid 29186)
· waiting for capture lock (21s, held by pid 29186)
· waiting for capture lock (31s, held by pid 29186)
· waiting for capture lock (42s, held by pid 29186)
· waiting for capture lock (52s, held by pid 29186)
· waiting for capture lock (62s, held by pid 29186)
· waiting for capture lock (72s, held by pid 29186)
· waiting for capture lock (82s, held by pid 29186)
· waiting for capture lock (93s, held by pid 29186)
· waiting for capture lock (103s, held by pid 29186)
· waiting for capture lock (113s, held by pid 29186)
· waiting for capture lock (124s, held by pid 29186)
· waiting for capture lock (135s, held by pid 29186)
· waiting for capture lock (145s, held by pid 29186)
· waiting for capture lock (156s, held by pid 29186)
· waiting for capture lock (166s, held by pid 29186)
· waiting for capture lock (177s, held by pid 29186)
· waiting for capture lock (187s, held by pid 29186)
· waiting for capture lock (198s, held by pid 29186)
· waiting for capture lock (208s, held by pid 29186)
· waiting for capture lock (219s, held by pid 29186)
· waiting for capture lock (230s, held by pid 29186)
· waiting for capture lock (240s, held by pid 29186)
· waiting for capture lock (251s, held by pid 29186)
· waiting for capture lock (261s, held by pid 29186)
· waiting for capture lock (272s, held by pid 29186)
· waiting for capture lock (282s, held by pid 29186)
· waiting for capture lock (293s, held by pid 29186)
· waiting for capture lock (303s, held by pid 29186)
· waiting for capture lock (313s, held by pid 29186)
· waiting for capture lock (324s, held by pid 29186)
· waiting for capture lock (334s, held by pid 29186)
· waiting for capture lock (345s, held by pid 29186)
· waiting for capture lock (355s, held by pid 29186)
· waiting for capture lock (365s, held by pid 0)
· waiting for capture lock (376s, held by pid 4955)
· waiting for capture lock (387s, held by pid 4955)
· waiting for capture lock (397s, held by pid 4955)
· waiting for capture lock (408s, held by pid 4955)
· waiting for capture lock (418s, held by pid 4955)
· waiting for capture lock (429s, held by pid 4955)
· waiting for capture lock (440s, held by pid 4955)
· waiting for capture lock (450s, held by pid 4955)
· waiting for capture lock (461s, held by pid 4955)
· waiting for capture lock (471s, held by pid 4955)
· waiting for capture lock (481s, held by pid 4955)
· waiting for capture lock (492s, held by pid 4955)
· waiting for capture lock (502s, held by pid 4955)
· waiting for capture lock (513s, held by pid 4955)
· waiting for capture lock (523s, held by pid 4955)
· waiting for capture lock (534s, held by pid 4955)
· waiting for capture lock (544s, held by pid 4955)
· waiting for capture lock (555s, held by pid 4955)
