orig  /home/user/Demo/src/render/PostFX.js  sha256 c37d5c2df2733ca2202f65d35fdf82bb44d58f48da9b5b8b460294b0f1f36388
cand  /home/user/Demo/progress/records/critic10postfx/PostFX.cand.js sha256 cd8ff982463c0ed0b901198f245011598e1a89a886e65b8883d9cb3b5a2e55c5
· waiting for capture lock (10s, held by pid 17412)
· waiting for capture lock (21s, held by pid 17412)
· waiting for capture lock (31s, held by pid 17412)
· waiting for capture lock (41s, held by pid 17412)
· waiting for capture lock (52s, held by pid 17412)
· waiting for capture lock (63s, held by pid 17412)
· waiting for capture lock (74s, held by pid 17412)
· waiting for capture lock (85s, held by pid 17412)
· waiting for capture lock (95s, held by pid 16261)
· waiting for capture lock (105s, held by pid 16261)
· waiting for capture lock (116s, held by pid 16261)
· waiting for capture lock (126s, held by pid 16261)
· waiting for capture lock (136s, held by pid 16261)
· waiting for capture lock (147s, held by pid 16261)
· waiting for capture lock (158s, held by pid 25087)
· waiting for capture lock (168s, held by pid 25087)
· waiting for capture lock (179s, held by pid 25087)
· waiting for capture lock (189s, held by pid 25087)
· waiting for capture lock (200s, held by pid 25087)
· waiting for capture lock (210s, held by pid 25087)
· waiting for capture lock (221s, held by pid 25087)
· waiting for capture lock (232s, held by pid 25087)
· waiting for capture lock (242s, held by pid 25087)
· waiting for capture lock (253s, held by pid 25087)
· waiting for capture lock (264s, held by pid 25087)
· waiting for capture lock (275s, held by pid 25087)
· waiting for capture lock (285s, held by pid 25087)
· waiting for capture lock (295s, held by pid 25087)
· waiting for capture lock (306s, held by pid 25087)
· waiting for capture lock (317s, held by pid 25087)
· waiting for capture lock (327s, held by pid 25087)
· waiting for capture lock (338s, held by pid 25087)
· waiting for capture lock (349s, held by pid 25087)
· waiting for capture lock (360s, held by pid 25087)
· waiting for capture lock (370s, held by pid 25087)
· waiting for capture lock (381s, held by pid 25087)
· waiting for capture lock (391s, held by pid 25087)
· waiting for capture lock (402s, held by pid 25087)
· waiting for capture lock (412s, held by pid 25087)
· waiting for capture lock (422s, held by pid 25087)
· waiting for capture lock (433s, held by pid 25087)
· waiting for capture lock (443s, held by pid 25087)
· waiting for capture lock (453s, held by pid 25087)
· waiting for capture lock (464s, held by pid 25087)
· waiting for capture lock (474s, held by pid 25087)
· waiting for capture lock (485s, held by pid 25087)
· waiting for capture lock (496s, held by pid 25087)
· waiting for capture lock (507s, held by pid 25087)
· waiting for capture lock (517s, held by pid 25087)
· waiting for capture lock (527s, held by pid 25087)
· waiting for capture lock (538s, held by pid 25087)
· waiting for capture lock (549s, held by pid 25087)
· waiting for capture lock (560s, held by pid 25087)
· waiting for capture lock (570s, held by pid 25087)
· waiting for capture lock (581s, held by pid 25087)
· waiting for capture lock (592s, held by pid 25087)
· waiting for capture lock (602s, held by pid 25087)
· waiting for capture lock (612s, held by pid 25087)
· waiting for capture lock (623s, held by pid 25087)
· waiting for capture lock (634s, held by pid 25087)
· waiting for capture lock (645s, held by pid 25087)
· waiting for capture lock (655s, held by pid 25087)
· waiting for capture lock (666s, held by pid 25087)
· waiting for capture lock (677s, held by pid 25087)
· waiting for capture lock (687s, held by pid 25087)
