· arm "restore"  srcTree 6460e59a72a87e57 (58 files)  shots: combat, sly-profile
· waiting for capture lock (10s, held by pid 13718)
· waiting for capture lock (20s, held by pid 13718)
· waiting for capture lock (30s, held by pid 13718)
· waiting for capture lock (41s, held by pid 13718)
· waiting for capture lock (51s, held by pid 13718)
· waiting for capture lock (61s, held by pid 13718)
· waiting for capture lock (72s, held by pid 13718)
· waiting for capture lock (82s, held by pid 13718)
· waiting for capture lock (93s, held by pid 13718)
· waiting for capture lock (103s, held by pid 13718)
· waiting for capture lock (113s, held by pid 13718)
· waiting for capture lock (124s, held by pid 13718)
· waiting for capture lock (134s, held by pid 13718)
· waiting for capture lock (144s, held by pid 13718)
· waiting for capture lock (155s, held by pid 13718)
· waiting for capture lock (165s, held by pid 13718)
