· waiting for capture lock (10s, held by pid 16832)
· waiting for capture lock (20s, held by pid 16832)
· waiting for capture lock (31s, held by pid 16832)
· waiting for capture lock (41s, held by pid 16832)
· waiting for capture lock (51s, held by pid 16832)
· waiting for capture lock (62s, held by pid 16832)
· waiting for capture lock (72s, held by pid 16832)
· waiting for capture lock (83s, held by pid 16832)
· waiting for capture lock (93s, held by pid 16832)
· waiting for capture lock (103s, held by pid 16832)
· waiting for capture lock (113s, held by pid 16832)
· waiting for capture lock (123s, held by pid 16832)
· waiting for capture lock (134s, held by pid 16832)
· waiting for capture lock (144s, held by pid 16832)
· waiting for capture lock (155s, held by pid 16832)
· waiting for capture lock (166s, held by pid 16832)
· waiting for capture lock (176s, held by pid 16832)
· waiting for capture lock (187s, held by pid 16832)
· waiting for capture lock (197s, held by pid 16832)
· waiting for capture lock (207s, held by pid 16832)
· waiting for capture lock (218s, held by pid 16832)
· waiting for capture lock (228s, held by pid 16832)
· waiting for capture lock (239s, held by pid 16832)
· waiting for capture lock (250s, held by pid 16832)
· waiting for capture lock (260s, held by pid 16832)
· waiting for capture lock (270s, held by pid 16832)
· waiting for capture lock (281s, held by pid 16832)
· waiting for capture lock (292s, held by pid 16832)
· waiting for capture lock (302s, held by pid 16832)
· waiting for capture lock (313s, held by pid 16832)
· waiting for capture lock (323s, held by pid 16832)
· waiting for capture lock (334s, held by pid 16832)
· waiting for capture lock (345s, held by pid 16832)
· waiting for capture lock (355s, held by pid 16832)
· waiting for capture lock (365s, held by pid 16832)
· waiting for capture lock (375s, held by pid 16832)
· waiting for capture lock (385s, held by pid 16832)
· waiting for capture lock (396s, held by pid 16832)
· waiting for capture lock (407s, held by pid 16832)
· waiting for capture lock (417s, held by pid 16832)
· waiting for capture lock (427s, held by pid 16832)
· waiting for capture lock (437s, held by pid 16832)
· waiting for capture lock (448s, held by pid 16832)
· waiting for capture lock (459s, held by pid 16832)
· waiting for capture lock (469s, held by pid 16832)
· waiting for capture lock (480s, held by pid 16832)
· waiting for capture lock (491s, held by pid 16832)
· waiting for capture lock (501s, held by pid 16832)
· waiting for capture lock (512s, held by pid 16832)
· waiting for capture lock (522s, held by pid 16832)
· waiting for capture lock (532s, held by pid 16832)
· waiting for capture lock (543s, held by pid 16832)
· waiting for capture lock (554s, held by pid 16832)
· waiting for capture lock (565s, held by pid 16832)
· waiting for capture lock (575s, held by pid 16832)
· waiting for capture lock (586s, held by pid 16832)
· waiting for capture lock (597s, held by pid 16832)
· waiting for capture lock (607s, held by pid 16832)
· waiting for capture lock (618s, held by pid 16832)
· waiting for capture lock (628s, held by pid 16832)
· waiting for capture lock (639s, held by pid 16832)
· waiting for capture lock (650s, held by pid 16832)
