pins OK. expected src hashes: install ccd5fc7dbc2035b6  restore 2052d5642163f62e
HEAD 693681d20783; frames -> /home/user/Demo/progress/records/fxartifact1
· waiting for capture lock (10s, held by pid 4615)
· waiting for capture lock (20s, held by pid 4615)
· waiting for capture lock (30s, held by pid 4615)
· waiting for capture lock (41s, held by pid 4615)
· waiting for capture lock (52s, held by pid 4615)
· waiting for capture lock (62s, held by pid 4615)
· waiting for capture lock (73s, held by pid 4615)
· waiting for capture lock (83s, held by pid 4615)
· waiting for capture lock (94s, held by pid 4615)
· waiting for capture lock (104s, held by pid 4615)
· waiting for capture lock (114s, held by pid 4615)
· waiting for capture lock (125s, held by pid 4615)
· waiting for capture lock (136s, held by pid 4615)
· waiting for capture lock (147s, held by pid 4615)
· waiting for capture lock (157s, held by pid 4615)
· waiting for capture lock (167s, held by pid 4615)
· waiting for capture lock (178s, held by pid 4615)
· waiting for capture lock (189s, held by pid 4615)
· waiting for capture lock (200s, held by pid 4615)
· waiting for capture lock (211s, held by pid 4615)
· waiting for capture lock (222s, held by pid 4615)
· waiting for capture lock (232s, held by pid 4615)
· waiting for capture lock (243s, held by pid 4615)
· waiting for capture lock (254s, held by pid 4615)
· waiting for capture lock (264s, held by pid 4615)
· waiting for capture lock (275s, held by pid 4615)
· waiting for capture lock (286s, held by pid 4615)
· waiting for capture lock (296s, held by pid 4615)
· waiting for capture lock (306s, held by pid 4615)
· waiting for capture lock (317s, held by pid 4615)
· waiting for capture lock (327s, held by pid 4615)
· waiting for capture lock (338s, held by pid 4615)
· waiting for capture lock (349s, held by pid 4615)
· waiting for capture lock (359s, held by pid 4615)
· waiting for capture lock (370s, held by pid 4615)
· waiting for capture lock (380s, held by pid 4615)
· waiting for capture lock (391s, held by pid 4615)
· waiting for capture lock (401s, held by pid 4615)
· waiting for capture lock (413s, held by pid 4615)
· waiting for capture lock (423s, held by pid 4615)
· waiting for capture lock (433s, held by pid 4615)
· waiting for capture lock (444s, held by pid 4615)
· waiting for capture lock (454s, held by pid 4615)
· waiting for capture lock (465s, held by pid 4615)
· waiting for capture lock (475s, held by pid 4615)
· waiting for capture lock (485s, held by pid 4615)
· waiting for capture lock (495s, held by pid 4615)
· waiting for capture lock (506s, held by pid 4615)
· waiting for capture lock (517s, held by pid 4615)
· waiting for capture lock (527s, held by pid 4615)
· waiting for capture lock (538s, held by pid 4615)
· waiting for capture lock (548s, held by pid 4615)
· waiting for capture lock (559s, held by pid 4615)
· waiting for capture lock (569s, held by pid 4615)
· waiting for capture lock (580s, held by pid 4615)
· waiting for capture lock (591s, held by pid 4615)
· waiting for capture lock (601s, held by pid 4615)
· waiting for capture lock (611s, held by pid 4615)
· waiting for capture lock (621s, held by pid 4615)
· waiting for capture lock (632s, held by pid 4615)
· waiting for capture lock (643s, held by pid 4615)
· waiting for capture lock (653s, held by pid 4615)
· waiting for capture lock (663s, held by pid 4615)
· waiting for capture lock (673s, held by pid 4615)
· waiting for capture lock (684s, held by pid 4615)
· waiting for capture lock (694s, held by pid 4615)
· waiting for capture lock (705s, held by pid 4615)
· waiting for capture lock (715s, held by pid 4615)
· waiting for capture lock (726s, held by pid 4615)
· waiting for capture lock (736s, held by pid 4615)
· waiting for capture lock (747s, held by pid 4615)
· waiting for capture lock (757s, held by pid 4615)
· waiting for capture lock (768s, held by pid 4615)
· waiting for capture lock (779s, held by pid 4615)
· waiting for capture lock (789s, held by pid 4615)
· waiting for capture lock (800s, held by pid 4615)
· waiting for capture lock (810s, held by pid 4615)
· waiting for capture lock (821s, held by pid 4615)
· waiting for capture lock (831s, held by pid 4615)
· waiting for capture lock (842s, held by pid 4615)
· waiting for capture lock (852s, held by pid 4615)
· waiting for capture lock (863s, held by pid 4615)
· waiting for capture lock (873s, held by pid 4615)
· waiting for capture lock (883s, held by pid 4615)
· waiting for capture lock (894s, held by pid 4615)
· waiting for capture lock (905s, held by pid 4615)
· waiting for capture lock (915s, held by pid 4615)
· waiting for capture lock (926s, held by pid 4615)
· waiting for capture lock (937s, held by pid 4615)
· waiting for capture lock (947s, held by pid 4615)
· waiting for capture lock (958s, held by pid 4615)
· waiting for capture lock (969s, held by pid 4615)
· waiting for capture lock (979s, held by pid 4615)
· waiting for capture lock (990s, held by pid 4615)
· waiting for capture lock (1000s, held by pid 4615)
· waiting for capture lock (1011s, held by pid 4615)
· waiting for capture lock (1021s, held by pid 4615)
· waiting for capture lock (1032s, held by pid 4615)
· waiting for capture lock (1043s, held by pid 4615)
· waiting for capture lock (1053s, held by pid 4615)
· waiting for capture lock (1063s, held by pid 4615)
· waiting for capture lock (1074s, held by pid 4615)
· waiting for capture lock (1084s, held by pid 4615)
· waiting for capture lock (1094s, held by pid 4615)
· waiting for capture lock (1105s, held by pid 4615)
· waiting for capture lock (1115s, held by pid 4615)
· waiting for capture lock (1125s, held by pid 4615)
· waiting for capture lock (1136s, held by pid 4615)
· waiting for capture lock (1147s, held by pid 4615)
· waiting for capture lock (1158s, held by pid 4615)
· waiting for capture lock (1168s, held by pid 4615)
· waiting for capture lock (1178s, held by pid 4615)
· waiting for capture lock (1188s, held by pid 4615)
· waiting for capture lock (1199s, held by pid 4615)
· waiting for capture lock (1209s, held by pid 4615)
· waiting for capture lock (1219s, held by pid 4615)
· waiting for capture lock (1230s, held by pid 4615)
· waiting for capture lock (1241s, held by pid 4615)
· waiting for capture lock (1252s, held by pid 4615)
· waiting for capture lock (1263s, held by pid 4615)
· waiting for capture lock (1273s, held by pid 4615)
· waiting for capture lock (1284s, held by pid 4615)
· waiting for capture lock (1294s, held by pid 4615)
· waiting for capture lock (1305s, held by pid 4615)
· waiting for capture lock (1315s, held by pid 4615)
· waiting for capture lock (1325s, held by pid 4615)
· waiting for capture lock (1336s, held by pid 4615)
· waiting for capture lock (1346s, held by pid 4615)
· waiting for capture lock (1357s, held by pid 4615)
· waiting for capture lock (1367s, held by pid 4615)
· waiting for capture lock (1378s, held by pid 4615)
· waiting for capture lock (1389s, held by pid 4615)
· waiting for capture lock (1400s, held by pid 4615)
· waiting for capture lock (1410s, held by pid 4615)
· waiting for capture lock (1420s, held by pid 4615)
· waiting for capture lock (1430s, held by pid 4615)
· waiting for capture lock (1441s, held by pid 4615)
· waiting for capture lock (1451s, held by pid 4615)
· waiting for capture lock (1461s, held by pid 4615)
· waiting for capture lock (1472s, held by pid 4615)
· waiting for capture lock (1482s, held by pid 4615)
· waiting for capture lock (1493s, held by pid 4615)
· waiting for capture lock (1504s, held by pid 4615)
· waiting for capture lock (1514s, held by pid 4615)
· waiting for capture lock (1525s, held by pid 4615)
· waiting for capture lock (1535s, held by pid 4615)
· waiting for capture lock (1545s, held by pid 4615)
· waiting for capture lock (1555s, held by pid 4615)
· waiting for capture lock (1565s, held by pid 4615)
· waiting for capture lock (1576s, held by pid 4615)
· waiting for capture lock (1587s, held by pid 4615)
· waiting for capture lock (1597s, held by pid 4615)
· waiting for capture lock (1607s, held by pid 4615)
