· waiting for capture lock (10s, held by pid 25164)
· waiting for capture lock (20s, held by pid 25164)
· waiting for capture lock (31s, held by pid 25164)
· waiting for capture lock (41s, held by pid 25164)
· waiting for capture lock (52s, held by pid 25164)
· waiting for capture lock (62s, held by pid 25164)
· waiting for capture lock (73s, held by pid 25164)
· waiting for capture lock (84s, held by pid 25164)
· waiting for capture lock (94s, held by pid 25164)
· waiting for capture lock (105s, held by pid 25164)
· waiting for capture lock (116s, held by pid 25164)
· waiting for capture lock (126s, held by pid 25164)
· waiting for capture lock (136s, held by pid 25164)
· waiting for capture lock (147s, held by pid 25164)
· waiting for capture lock (157s, held by pid 25164)
· waiting for capture lock (168s, held by pid 25164)
· waiting for capture lock (178s, held by pid 25164)
· waiting for capture lock (189s, held by pid 25164)
· waiting for capture lock (200s, held by pid 25164)
· waiting for capture lock (210s, held by pid 25164)
· waiting for capture lock (221s, held by pid 25164)
· waiting for capture lock (231s, held by pid 25164)
· waiting for capture lock (242s, held by pid 25164)
· waiting for capture lock (253s, held by pid 25164)
· waiting for capture lock (263s, held by pid 25164)
· waiting for capture lock (274s, held by pid 25164)
· waiting for capture lock (284s, held by pid 25164)
· waiting for capture lock (295s, held by pid 25164)
· waiting for capture lock (306s, held by pid 25164)
· waiting for capture lock (317s, held by pid 25164)
· waiting for capture lock (328s, held by pid 25164)
· waiting for capture lock (339s, held by pid 25164)
· waiting for capture lock (350s, held by pid 25164)
· waiting for capture lock (360s, held by pid 25164)
· waiting for capture lock (370s, held by pid 25164)
· waiting for capture lock (381s, held by pid 25164)
· waiting for capture lock (392s, held by pid 25164)
· waiting for capture lock (402s, held by pid 25164)
· waiting for capture lock (413s, held by pid 25164)
· waiting for capture lock (423s, held by pid 25164)
· waiting for capture lock (434s, held by pid 25164)
· waiting for capture lock (444s, held by pid 25164)
· waiting for capture lock (455s, held by pid 25164)
· waiting for capture lock (465s, held by pid 25164)
· waiting for capture lock (475s, held by pid 25164)
· waiting for capture lock (486s, held by pid 25164)
· waiting for capture lock (497s, held by pid 25164)
· waiting for capture lock (508s, held by pid 25164)
· waiting for capture lock (518s, held by pid 25164)
· waiting for capture lock (528s, held by pid 25164)
· waiting for capture lock (539s, held by pid 25164)
· waiting for capture lock (550s, held by pid 25164)
· waiting for capture lock (561s, held by pid 25164)
· waiting for capture lock (571s, held by pid 25164)
· waiting for capture lock (581s, held by pid 25164)
· waiting for capture lock (592s, held by pid 25164)
· waiting for capture lock (602s, held by pid 25164)
· waiting for capture lock (612s, held by pid 25164)
· waiting for capture lock (623s, held by pid 25164)
· waiting for capture lock (633s, held by pid 25164)
· waiting for capture lock (643s, held by pid 25164)
· waiting for capture lock (654s, held by pid 25164)
· waiting for capture lock (664s, held by pid 25164)
· waiting for capture lock (674s, held by pid 25164)
· waiting for capture lock (684s, held by pid 25164)
· waiting for capture lock (695s, held by pid 25164)
· waiting for capture lock (705s, held by pid 25164)
· waiting for capture lock (716s, held by pid 25164)
· waiting for capture lock (726s, held by pid 25164)
· waiting for capture lock (737s, held by pid 25164)
· waiting for capture lock (747s, held by pid 25164)
· waiting for capture lock (757s, held by pid 25164)
· waiting for capture lock (768s, held by pid 25164)
· waiting for capture lock (779s, held by pid 25164)
· waiting for capture lock (789s, held by pid 25164)
· waiting for capture lock (799s, held by pid 23309)
· waiting for capture lock (809s, held by pid 23309)
· waiting for capture lock (820s, held by pid 23309)
· waiting for capture lock (831s, held by pid 23309)
· waiting for capture lock (842s, held by pid 23309)
· waiting for capture lock (852s, held by pid 23309)
· waiting for capture lock (863s, held by pid 23309)
· waiting for capture lock (874s, held by pid 23309)
· waiting for capture lock (884s, held by pid 23309)
· waiting for capture lock (895s, held by pid 23309)
· waiting for capture lock (905s, held by pid 23309)
· waiting for capture lock (916s, held by pid 23309)
· waiting for capture lock (927s, held by pid 23309)
· waiting for capture lock (938s, held by pid 23309)
· waiting for capture lock (948s, held by pid 23309)
· waiting for capture lock (959s, held by pid 23309)
· waiting for capture lock (969s, held by pid 23309)
· waiting for capture lock (979s, held by pid 23309)
· waiting for capture lock (990s, held by pid 23309)
· waiting for capture lock (1000s, held by pid 23309)
· waiting for capture lock (1010s, held by pid 23309)
· waiting for capture lock (1021s, held by pid 23309)
· waiting for capture lock (1032s, held by pid 23309)
· waiting for capture lock (1042s, held by pid 23309)
· waiting for capture lock (1053s, held by pid 23309)
· waiting for capture lock (1063s, held by pid 23309)
· waiting for capture lock (1075s, held by pid 23309)
· waiting for capture lock (1085s, held by pid 23309)
· waiting for capture lock (1095s, held by pid 23309)
· waiting for capture lock (1106s, held by pid 23309)
· waiting for capture lock (1116s, held by pid 23309)
· waiting for capture lock (1127s, held by pid 23309)
· waiting for capture lock (1137s, held by pid 23309)
