· waiting for capture lock (10s, held by pid 10080)
· waiting for capture lock (21s, held by pid 10080)
· waiting for capture lock (32s, held by pid 10080)
· waiting for capture lock (42s, held by pid 10080)
· waiting for capture lock (53s, held by pid 10080)
· waiting for capture lock (63s, held by pid 10080)
· waiting for capture lock (73s, held by pid 10080)
· waiting for capture lock (84s, held by pid 10080)
· waiting for capture lock (95s, held by pid 10080)
· waiting for capture lock (106s, held by pid 10080)
· waiting for capture lock (116s, held by pid 10080)
· waiting for capture lock (127s, held by pid 10080)
· waiting for capture lock (137s, held by pid 10080)
· waiting for capture lock (147s, held by pid 10080)
· waiting for capture lock (158s, held by pid 10080)
· waiting for capture lock (169s, held by pid 10080)
