[12:07:22 +   0s] chunk N: all frames present — skipping (idempotent resume)
[12:07:22 +   0s] chunk N2: all frames present — skipping (idempotent resume)
[12:07:22 +   0s] chunk A (hero): srcTree bea5de83c61c5806 — booting (own lock hold)
· waiting for capture lock (10s, held by pid 12695)
· waiting for capture lock (20s, held by pid 12695)
· waiting for capture lock (31s, held by pid 12695)
· waiting for capture lock (41s, held by pid 12695)
· waiting for capture lock (52s, held by pid 12695)
· waiting for capture lock (62s, held by pid 12695)
· waiting for capture lock (72s, held by pid 12695)
· waiting for capture lock (83s, held by pid 12695)
· waiting for capture lock (94s, held by pid 12695)
· waiting for capture lock (104s, held by pid 12695)
· waiting for capture lock (114s, held by pid 12695)
· waiting for capture lock (125s, held by pid 12695)
· waiting for capture lock (135s, held by pid 12695)
· waiting for capture lock (146s, held by pid 12695)
· waiting for capture lock (156s, held by pid 12695)
· waiting for capture lock (167s, held by pid 12695)
· waiting for capture lock (178s, held by pid 12695)
· waiting for capture lock (188s, held by pid 12695)
· waiting for capture lock (200s, held by pid 12695)
· waiting for capture lock (210s, held by pid 12695)
· waiting for capture lock (220s, held by pid 12695)
· waiting for capture lock (230s, held by pid 12695)
· waiting for capture lock (240s, held by pid 12695)
· waiting for capture lock (251s, held by pid 12695)
· waiting for capture lock (261s, held by pid 12695)
· waiting for capture lock (271s, held by pid 12695)
· waiting for capture lock (282s, held by pid 12695)
· waiting for capture lock (293s, held by pid 12695)
· waiting for capture lock (303s, held by pid 12695)
· waiting for capture lock (313s, held by pid 12695)
· waiting for capture lock (324s, held by pid 12695)
· waiting for capture lock (335s, held by pid 12695)
· waiting for capture lock (345s, held by pid 12695)
· waiting for capture lock (355s, held by pid 12695)
· waiting for capture lock (366s, held by pid 12695)
· waiting for capture lock (376s, held by pid 12695)
· waiting for capture lock (387s, held by pid 12695)
· waiting for capture lock (397s, held by pid 12695)
· waiting for capture lock (408s, held by pid 12695)
· waiting for capture lock (418s, held by pid 12695)
· waiting for capture lock (429s, held by pid 12695)
· waiting for capture lock (439s, held by pid 12695)
· waiting for capture lock (450s, held by pid 12695)
· waiting for capture lock (461s, held by pid 12695)
· waiting for capture lock (471s, held by pid 12695)
· waiting for capture lock (481s, held by pid 12695)
· waiting for capture lock (492s, held by pid 12695)
· waiting for capture lock (503s, held by pid 12695)
· waiting for capture lock (513s, held by pid 12695)
· waiting for capture lock (524s, held by pid 12695)
· waiting for capture lock (535s, held by pid 12695)
· waiting for capture lock (546s, held by pid 12695)
· waiting for capture lock (556s, held by pid 12695)
· waiting for capture lock (566s, held by pid 13255)
· waiting for capture lock (577s, held by pid 13255)
· waiting for capture lock (588s, held by pid 13255)
· waiting for capture lock (599s, held by pid 13255)
· waiting for capture lock (609s, held by pid 13255)
· waiting for capture lock (619s, held by pid 13255)
· waiting for capture lock (630s, held by pid 13255)
· waiting for capture lock (640s, held by pid 13255)
· waiting for capture lock (651s, held by pid 13255)
· waiting for capture lock (662s, held by pid 13255)
· waiting for capture lock (672s, held by pid 13255)
· waiting for capture lock (683s, held by pid 13255)
· waiting for capture lock (693s, held by pid 13255)
· waiting for capture lock (704s, held by pid 13255)
· waiting for capture lock (714s, held by pid 13255)
· waiting for capture lock (725s, held by pid 13255)
· waiting for capture lock (735s, held by pid 13255)
· waiting for capture lock (745s, held by pid 13255)
· waiting for capture lock (756s, held by pid 13255)
· waiting for capture lock (766s, held by pid 13255)
· waiting for capture lock (777s, held by pid 13255)
· waiting for capture lock (787s, held by pid 13255)
· waiting for capture lock (797s, held by pid 13255)
· waiting for capture lock (808s, held by pid 13255)
· waiting for capture lock (818s, held by pid 13255)
· waiting for capture lock (829s, held by pid 13255)
· waiting for capture lock (840s, held by pid 13255)
· waiting for capture lock (850s, held by pid 13255)
· waiting for capture lock (860s, held by pid 13255)
· waiting for capture lock (871s, held by pid 13255)
· waiting for capture lock (882s, held by pid 13255)
· waiting for capture lock (892s, held by pid 13255)
· waiting for capture lock (902s, held by pid 13255)
