[12:28:55 +   0s] chunk N: all frames present — skipping (idempotent resume)
[12:28:55 +   0s] chunk N2: all frames present — skipping (idempotent resume)
[12:28:55 +   0s] chunk A (hero): srcTree 9fb6101f27556a12 — booting (own lock hold)
· waiting for capture lock (10s, held by pid 13718)
· waiting for capture lock (20s, held by pid 13718)
· waiting for capture lock (31s, held by pid 13718)
· waiting for capture lock (41s, held by pid 13718)
· waiting for capture lock (51s, held by pid 13718)
· waiting for capture lock (62s, held by pid 13718)
· waiting for capture lock (73s, held by pid 13718)
· waiting for capture lock (84s, held by pid 13718)
· waiting for capture lock (95s, held by pid 13718)
· waiting for capture lock (106s, held by pid 13718)
· waiting for capture lock (116s, held by pid 13718)
· waiting for capture lock (127s, held by pid 13718)
· waiting for capture lock (138s, held by pid 13718)
· waiting for capture lock (149s, held by pid 13718)
· waiting for capture lock (160s, held by pid 13718)
· waiting for capture lock (170s, held by pid 13718)
· waiting for capture lock (181s, held by pid 13718)
· waiting for capture lock (191s, held by pid 13718)
· waiting for capture lock (202s, held by pid 13718)
· waiting for capture lock (212s, held by pid 13718)
· waiting for capture lock (222s, held by pid 13718)
· waiting for capture lock (233s, held by pid 13718)
· waiting for capture lock (243s, held by pid 13718)
· waiting for capture lock (254s, held by pid 13718)
· waiting for capture lock (264s, held by pid 13718)
· waiting for capture lock (275s, held by pid 13718)
· waiting for capture lock (285s, held by pid 13718)
· waiting for capture lock (295s, held by pid 13718)
· waiting for capture lock (306s, held by pid 13718)
· waiting for capture lock (316s, held by pid 13718)
· waiting for capture lock (327s, held by pid 13718)
