[01:49:58 +   0s] provenance sha 1858d5d  srcTree bc13c4632863fc15  renderTree 5b075ca0b494f8d2  dirty 5 file(s)
· waiting for capture lock (10s, held by pid 24278)
· waiting for capture lock (21s, held by pid 24278)
· waiting for capture lock (32s, held by pid 24278)
· waiting for capture lock (42s, held by pid 24278)
· waiting for capture lock (53s, held by pid 24278)
· waiting for capture lock (64s, held by pid 24278)
· waiting for capture lock (74s, held by pid 24278)
· waiting for capture lock (85s, held by pid 24278)
· waiting for capture lock (96s, held by pid 24278)
· waiting for capture lock (106s, held by pid 24278)
· waiting for capture lock (117s, held by pid 24278)
· waiting for capture lock (127s, held by pid 24278)
· waiting for capture lock (138s, held by pid 24278)
· waiting for capture lock (148s, held by pid 24278)
· waiting for capture lock (159s, held by pid 24278)
· waiting for capture lock (169s, held by pid 24278)
· waiting for capture lock (179s, held by pid 24278)
· waiting for capture lock (190s, held by pid 24278)
· waiting for capture lock (200s, held by pid 24278)
· waiting for capture lock (210s, held by pid 24278)
· waiting for capture lock (221s, held by pid 24278)
· waiting for capture lock (231s, held by pid 24278)
· waiting for capture lock (242s, held by pid 24278)
· waiting for capture lock (252s, held by pid 24278)
· waiting for capture lock (263s, held by pid 24278)
· waiting for capture lock (273s, held by pid 24278)
· waiting for capture lock (284s, held by pid 24278)
· waiting for capture lock (294s, held by pid 24278)
· waiting for capture lock (305s, held by pid 24278)
· waiting for capture lock (315s, held by pid 24278)
· waiting for capture lock (325s, held by pid 24278)
· waiting for capture lock (336s, held by pid 24278)
· waiting for capture lock (347s, held by pid 24278)
· waiting for capture lock (357s, held by pid 24278)
· waiting for capture lock (368s, held by pid 24278)
· waiting for capture lock (378s, held by pid 24278)
· waiting for capture lock (389s, held by pid 24278)
