· waiting for capture lock (10s, held by pid 9685)
· waiting for capture lock (20s, held by pid 9685)
· waiting for capture lock (30s, held by pid 9685)
· waiting for capture lock (41s, held by pid 9685)
· waiting for capture lock (51s, held by pid 9685)
· waiting for capture lock (61s, held by pid 9685)
· waiting for capture lock (71s, held by pid 9685)
· waiting for capture lock (82s, held by pid 9685)
· waiting for capture lock (93s, held by pid 9685)
· waiting for capture lock (103s, held by pid 9685)
· waiting for capture lock (114s, held by pid 9685)
· waiting for capture lock (125s, held by pid 9685)
· waiting for capture lock (135s, held by pid 9685)
· waiting for capture lock (146s, held by pid 9685)
· waiting for capture lock (157s, held by pid 9685)
· waiting for capture lock (167s, held by pid 9685)
· waiting for capture lock (178s, held by pid 9685)
· waiting for capture lock (189s, held by pid 9685)
· waiting for capture lock (199s, held by pid 9685)
· waiting for capture lock (209s, held by pid 9685)
· waiting for capture lock (220s, held by pid 9685)
· waiting for capture lock (231s, held by pid 9685)
· waiting for capture lock (241s, held by pid 9685)
· waiting for capture lock (252s, held by pid 9685)
· waiting for capture lock (262s, held by pid 9685)
· waiting for capture lock (273s, held by pid 9685)
· waiting for capture lock (283s, held by pid 9685)
· waiting for capture lock (294s, held by pid 9685)
· waiting for capture lock (304s, held by pid 9685)
· waiting for capture lock (314s, held by pid 9685)
· waiting for capture lock (325s, held by pid 9685)
· waiting for capture lock (335s, held by pid 9685)
· waiting for capture lock (346s, held by pid 9685)
· waiting for capture lock (356s, held by pid 9685)
· waiting for capture lock (366s, held by pid 9685)
· waiting for capture lock (377s, held by pid 9685)
· waiting for capture lock (388s, held by pid 9685)
· waiting for capture lock (398s, held by pid 9685)
· waiting for capture lock (409s, held by pid 9685)
· waiting for capture lock (419s, held by pid 9685)
· waiting for capture lock (429s, held by pid 9685)
· waiting for capture lock (440s, held by pid 9685)
· waiting for capture lock (450s, held by pid 9685)
· waiting for capture lock (461s, held by pid 9685)
· waiting for capture lock (471s, held by pid 9685)
· waiting for capture lock (481s, held by pid 9685)
· waiting for capture lock (492s, held by pid 9685)
· waiting for capture lock (503s, held by pid 9685)
· waiting for capture lock (514s, held by pid 9685)
· waiting for capture lock (524s, held by pid 9685)
· waiting for capture lock (535s, held by pid 9685)
· waiting for capture lock (545s, held by pid 9685)
· waiting for capture lock (555s, held by pid 9685)
· waiting for capture lock (565s, held by pid 9685)
· waiting for capture lock (576s, held by pid 9685)
· waiting for capture lock (587s, held by pid 9685)
· waiting for capture lock (598s, held by pid 9685)
· waiting for capture lock (608s, held by pid 9685)
· waiting for capture lock (619s, held by pid 9685)
· waiting for capture lock (629s, held by pid 9685)
· waiting for capture lock (640s, held by pid 9685)
· waiting for capture lock (650s, held by pid 9685)
· waiting for capture lock (660s, held by pid 9685)
· waiting for capture lock (671s, held by pid 9685)
· waiting for capture lock (681s, held by pid 9685)
· waiting for capture lock (691s, held by pid 9685)
· waiting for capture lock (702s, held by pid 9685)
· waiting for capture lock (712s, held by pid 9685)
· waiting for capture lock (723s, held by pid 9685)
· waiting for capture lock (733s, held by pid 9685)
· waiting for capture lock (744s, held by pid 9685)
· waiting for capture lock (755s, held by pid 9685)
