[04:03:36 +   0s] seam verify ok (srcTree 85bab2d30f5f7b59)
· waiting for capture lock (10s, held by pid 19148)
· waiting for capture lock (20s, held by pid 19148)
· waiting for capture lock (31s, held by pid 19148)
· waiting for capture lock (41s, held by pid 19148)
· waiting for capture lock (51s, held by pid 19148)
· waiting for capture lock (61s, held by pid 19148)
· waiting for capture lock (71s, held by pid 19148)
· waiting for capture lock (81s, held by pid 19148)
· waiting for capture lock (92s, held by pid 19148)
· waiting for capture lock (102s, held by pid 19148)
· waiting for capture lock (113s, held by pid 19148)
· waiting for capture lock (123s, held by pid 19148)
· waiting for capture lock (134s, held by pid 15982)
· waiting for capture lock (144s, held by pid 15982)
· waiting for capture lock (154s, held by pid 15982)
· waiting for capture lock (165s, held by pid 15982)
· waiting for capture lock (175s, held by pid 15982)
· waiting for capture lock (185s, held by pid 15982)
· waiting for capture lock (196s, held by pid 15982)
· waiting for capture lock (207s, held by pid 15982)
· waiting for capture lock (218s, held by pid 15982)
· waiting for capture lock (228s, held by pid 15982)
· waiting for capture lock (239s, held by pid 15982)
· waiting for capture lock (250s, held by pid 15982)
· waiting for capture lock (260s, held by pid 15982)
· waiting for capture lock (271s, held by pid 15982)
· waiting for capture lock (282s, held by pid 15982)
· waiting for capture lock (292s, held by pid 15982)
· waiting for capture lock (302s, held by pid 15982)
· waiting for capture lock (313s, held by pid 15982)
· waiting for capture lock (323s, held by pid 15982)
· waiting for capture lock (333s, held by pid 15982)
· waiting for capture lock (344s, held by pid 15982)
· waiting for capture lock (354s, held by pid 15982)
· waiting for capture lock (365s, held by pid 15982)
· waiting for capture lock (376s, held by pid 15982)
· waiting for capture lock (387s, held by pid 15982)
· waiting for capture lock (397s, held by pid 15982)
· waiting for capture lock (407s, held by pid 15982)
· waiting for capture lock (417s, held by pid 15982)
· waiting for capture lock (428s, held by pid 15982)
· waiting for capture lock (438s, held by pid 15982)
· waiting for capture lock (448s, held by pid 15982)
· waiting for capture lock (458s, held by pid 15982)
· waiting for capture lock (469s, held by pid 15982)
· waiting for capture lock (480s, held by pid 15982)
· waiting for capture lock (490s, held by pid 15982)
· waiting for capture lock (500s, held by pid 15982)
· waiting for capture lock (510s, held by pid 15982)
· waiting for capture lock (520s, held by pid 15982)
· waiting for capture lock (531s, held by pid 15982)
· waiting for capture lock (542s, held by pid 15982)
· waiting for capture lock (552s, held by pid 15982)
· waiting for capture lock (563s, held by pid 15982)
· waiting for capture lock (573s, held by pid 15982)
· waiting for capture lock (584s, held by pid 15982)
· waiting for capture lock (594s, held by pid 15982)
· waiting for capture lock (605s, held by pid 15982)
· waiting for capture lock (615s, held by pid 15982)
· waiting for capture lock (625s, held by pid 15982)
· waiting for capture lock (636s, held by pid 15982)
· waiting for capture lock (646s, held by pid 15982)
· waiting for capture lock (656s, held by pid 15982)
· waiting for capture lock (667s, held by pid 15982)
· waiting for capture lock (677s, held by pid 15982)
· waiting for capture lock (687s, held by pid 15982)
· waiting for capture lock (698s, held by pid 15982)
· waiting for capture lock (709s, held by pid 15982)
· waiting for capture lock (719s, held by pid 15982)
· waiting for capture lock (730s, held by pid 15982)
· waiting for capture lock (741s, held by pid 15982)
· waiting for capture lock (751s, held by pid 15982)
· waiting for capture lock (762s, held by pid 15982)
· waiting for capture lock (772s, held by pid 15982)
· waiting for capture lock (783s, held by pid 15982)
· waiting for capture lock (793s, held by pid 15982)
· waiting for capture lock (803s, held by pid 15982)
