[12:00:48 +   0s] bootId dd9a10cf-a1e  srcTree bea5de83c61c5806 — booting (harness takes the FIFO ticket)
· waiting for capture lock (10s, held by pid 3825)
· waiting for capture lock (20s, held by pid 3825)
· waiting for capture lock (31s, held by pid 3825)
· waiting for capture lock (41s, held by pid 3825)
· waiting for capture lock (51s, held by pid 3825)
· waiting for capture lock (62s, held by pid 3825)
· waiting for capture lock (72s, held by pid 3825)
· waiting for capture lock (83s, held by pid 3825)
· waiting for capture lock (93s, held by pid 3825)
· waiting for capture lock (104s, held by pid 3825)
· waiting for capture lock (115s, held by pid 3825)
· waiting for capture lock (125s, held by pid 3825)
· waiting for capture lock (135s, held by pid 3825)
· waiting for capture lock (146s, held by pid 3825)
· waiting for capture lock (157s, held by pid 3825)
· waiting for capture lock (168s, held by pid 3825)
· waiting for capture lock (178s, held by pid 3825)
· waiting for capture lock (190s, held by pid 3825)
· waiting for capture lock (200s, held by pid 3825)
· waiting for capture lock (211s, held by pid 3825)
· waiting for capture lock (222s, held by pid 3825)
· waiting for capture lock (232s, held by pid 3825)
· waiting for capture lock (243s, held by pid 3825)
