[12:28:47 +   0s] bootId a71e0b5a-21f  srcTree 9fb6101f27556a12 — booting (harness takes the FIFO ticket)
· waiting for capture lock (10s, held by pid 13718)
· waiting for capture lock (20s, held by pid 13718)
· waiting for capture lock (30s, held by pid 13718)
· waiting for capture lock (40s, held by pid 13718)
· waiting for capture lock (51s, held by pid 13718)
· waiting for capture lock (61s, held by pid 13718)
· waiting for capture lock (71s, held by pid 13718)
· waiting for capture lock (82s, held by pid 13718)
· waiting for capture lock (92s, held by pid 13718)
· waiting for capture lock (103s, held by pid 13718)
· waiting for capture lock (113s, held by pid 13718)
· waiting for capture lock (124s, held by pid 13718)
· waiting for capture lock (134s, held by pid 13718)
· waiting for capture lock (145s, held by pid 13718)
· waiting for capture lock (155s, held by pid 13718)
· waiting for capture lock (166s, held by pid 13718)
· waiting for capture lock (176s, held by pid 13718)
· waiting for capture lock (187s, held by pid 13718)
· waiting for capture lock (197s, held by pid 13718)
· waiting for capture lock (208s, held by pid 13718)
· waiting for capture lock (218s, held by pid 13718)
· waiting for capture lock (229s, held by pid 13718)
· waiting for capture lock (240s, held by pid 13718)
· waiting for capture lock (251s, held by pid 13718)
· waiting for capture lock (262s, held by pid 13718)
· waiting for capture lock (272s, held by pid 13718)
· waiting for capture lock (282s, held by pid 13718)
· waiting for capture lock (293s, held by pid 13718)
· waiting for capture lock (303s, held by pid 13718)
· waiting for capture lock (314s, held by pid 13718)
· waiting for capture lock (324s, held by pid 13718)
· waiting for capture lock (334s, held by pid 13718)
· waiting for capture lock (344s, held by pid 13718)
· waiting for capture lock (355s, held by pid 13718)
· waiting for capture lock (366s, held by pid 13718)
· waiting for capture lock (376s, held by pid 13718)
· waiting for capture lock (387s, held by pid 13718)
· waiting for capture lock (398s, held by pid 13718)
· waiting for capture lock (408s, held by pid 13718)
· waiting for capture lock (418s, held by pid 13718)
· waiting for capture lock (429s, held by pid 13718)
· waiting for capture lock (440s, held by pid 13718)
· waiting for capture lock (450s, held by pid 13718)
· waiting for capture lock (460s, held by pid 13718)
· waiting for capture lock (471s, held by pid 28469)
· waiting for capture lock (482s, held by pid 28469)
· waiting for capture lock (492s, held by pid 28469)
· waiting for capture lock (502s, held by pid 28469)
· waiting for capture lock (513s, held by pid 28469)
