BASE 926f0ee verified: src delta is exactly the three registered files.
HEAD f4056f4364af; frames -> /home/user/Demo/progress/records/torchlight1
· waiting for capture lock (10s, held by pid 24041)
· waiting for capture lock (20s, held by pid 24041)
· waiting for capture lock (31s, held by pid 24041)
· waiting for capture lock (42s, held by pid 24041)
· waiting for capture lock (52s, held by pid 24041)
· waiting for capture lock (62s, held by pid 24041)
· waiting for capture lock (72s, held by pid 24041)
· waiting for capture lock (83s, held by pid 24041)
· waiting for capture lock (93s, held by pid 24041)
· waiting for capture lock (104s, held by pid 24041)
· waiting for capture lock (114s, held by pid 24041)
· waiting for capture lock (125s, held by pid 24041)
· waiting for capture lock (135s, held by pid 24041)
· waiting for capture lock (145s, held by pid 24041)
· waiting for capture lock (157s, held by pid 24041)
· waiting for capture lock (167s, held by pid 24041)
· waiting for capture lock (178s, held by pid 24041)
· waiting for capture lock (189s, held by pid 24041)
· waiting for capture lock (200s, held by pid 24041)
· waiting for capture lock (210s, held by pid 24041)
· waiting for capture lock (221s, held by pid 24041)
· waiting for capture lock (231s, held by pid 24041)
· waiting for capture lock (241s, held by pid 24041)
· waiting for capture lock (252s, held by pid 24041)
· waiting for capture lock (262s, held by pid 24041)
· waiting for capture lock (272s, held by pid 24041)
· waiting for capture lock (282s, held by pid 24041)
· waiting for capture lock (293s, held by pid 24041)
· waiting for capture lock (304s, held by pid 24041)
· waiting for capture lock (314s, held by pid 24041)
· waiting for capture lock (325s, held by pid 24041)
· waiting for capture lock (335s, held by pid 24041)
· waiting for capture lock (346s, held by pid 24041)
· waiting for capture lock (356s, held by pid 24041)
· waiting for capture lock (366s, held by pid 24041)
· waiting for capture lock (377s, held by pid 24041)
· waiting for capture lock (388s, held by pid 24041)
· waiting for capture lock (398s, held by pid 24041)
· waiting for capture lock (408s, held by pid 24041)
· waiting for capture lock (418s, held by pid 24041)
· waiting for capture lock (429s, held by pid 24041)
· waiting for capture lock (439s, held by pid 24041)
· waiting for capture lock (450s, held by pid 24041)
· waiting for capture lock (461s, held by pid 24041)
· waiting for capture lock (472s, held by pid 24041)
· waiting for capture lock (483s, held by pid 24041)
· waiting for capture lock (493s, held by pid 24041)
· waiting for capture lock (503s, held by pid 24041)
· waiting for capture lock (513s, held by pid 24041)
· waiting for capture lock (523s, held by pid 24041)
· waiting for capture lock (534s, held by pid 24041)
· waiting for capture lock (544s, held by pid 24041)
· waiting for capture lock (554s, held by pid 24041)
· waiting for capture lock (565s, held by pid 24041)
· waiting for capture lock (575s, held by pid 24041)
· waiting for capture lock (586s, held by pid 24041)
· waiting for capture lock (597s, held by pid 24041)
· waiting for capture lock (607s, held by pid 24041)
· waiting for capture lock (617s, held by pid 24041)
· waiting for capture lock (627s, held by pid 24041)
· waiting for capture lock (638s, held by pid 24041)
· waiting for capture lock (648s, held by pid 24041)
· waiting for capture lock (659s, held by pid 24041)
· waiting for capture lock (669s, held by pid 24041)
· waiting for capture lock (680s, held by pid 24041)
· waiting for capture lock (690s, held by pid 24041)
· waiting for capture lock (700s, held by pid 24041)
· waiting for capture lock (711s, held by pid 24041)
· waiting for capture lock (721s, held by pid 24041)
· waiting for capture lock (732s, held by pid 24041)
· waiting for capture lock (743s, held by pid 24041)
· waiting for capture lock (753s, held by pid 24041)
· waiting for capture lock (764s, held by pid 24041)
· waiting for capture lock (775s, held by pid 24041)
· waiting for capture lock (785s, held by pid 24041)
· waiting for capture lock (796s, held by pid 24041)
· waiting for capture lock (806s, held by pid 24041)
· waiting for capture lock (816s, held by pid 24041)
· waiting for capture lock (828s, held by pid 24041)
· waiting for capture lock (838s, held by pid 24041)
· waiting for capture lock (849s, held by pid 24041)
· waiting for capture lock (859s, held by pid 24041)
· waiting for capture lock (871s, held by pid 24041)
· waiting for capture lock (881s, held by pid 24041)
· waiting for capture lock (892s, held by pid 24041)
· waiting for capture lock (903s, held by pid 24041)
· waiting for capture lock (913s, held by pid 24041)
· waiting for capture lock (923s, held by pid 24041)
· waiting for capture lock (933s, held by pid 24041)
· waiting for capture lock (944s, held by pid 24041)
· waiting for capture lock (954s, held by pid 24041)
· waiting for capture lock (965s, held by pid 24041)
· waiting for capture lock (976s, held by pid 24041)
· waiting for capture lock (987s, held by pid 24041)
· waiting for capture lock (997s, held by pid 24041)
· waiting for capture lock (1007s, held by pid 24041)
· waiting for capture lock (1018s, held by pid 24041)
· waiting for capture lock (1029s, held by pid 24041)
· waiting for capture lock (1039s, held by pid 24041)
· waiting for capture lock (1050s, held by pid 24041)
· waiting for capture lock (1061s, held by pid 24041)
· waiting for capture lock (1071s, held by pid 24041)
· waiting for capture lock (1082s, held by pid 24041)
· waiting for capture lock (1092s, held by pid 24041)
· waiting for capture lock (1103s, held by pid 24041)
· waiting for capture lock (1113s, held by pid 24041)
· waiting for capture lock (1124s, held by pid 24041)
· waiting for capture lock (1134s, held by pid 24041)
· waiting for capture lock (1145s, held by pid 25647)
· waiting for capture lock (1156s, held by pid 25647)
· waiting for capture lock (1167s, held by pid 25647)
· waiting for capture lock (1178s, held by pid 25647)
· waiting for capture lock (1188s, held by pid 25647)
· waiting for capture lock (1199s, held by pid 25647)
· waiting for capture lock (1209s, held by pid 25647)
· waiting for capture lock (1219s, held by pid 25647)
· waiting for capture lock (1230s, held by pid 25647)
· waiting for capture lock (1241s, held by pid 25647)
· waiting for capture lock (1251s, held by pid 25647)
· waiting for capture lock (1261s, held by pid 25647)
· waiting for capture lock (1272s, held by pid 25647)
· waiting for capture lock (1283s, held by pid 25647)
· waiting for capture lock (1294s, held by pid 25647)
· waiting for capture lock (1305s, held by pid 25647)
· waiting for capture lock (1315s, held by pid 25647)
· waiting for capture lock (1326s, held by pid 25647)
· waiting for capture lock (1336s, held by pid 25647)
· waiting for capture lock (1346s, held by pid 25647)
· waiting for capture lock (1356s, held by pid 25647)
· waiting for capture lock (1367s, held by pid 25647)
· waiting for capture lock (1377s, held by pid 25647)
· waiting for capture lock (1388s, held by pid 25647)
· waiting for capture lock (1399s, held by pid 25647)
· waiting for capture lock (1410s, held by pid 25647)
· waiting for capture lock (1420s, held by pid 25647)
· waiting for capture lock (1430s, held by pid 25647)
· waiting for capture lock (1441s, held by pid 25647)
· waiting for capture lock (1452s, held by pid 25647)
· waiting for capture lock (1462s, held by pid 25647)
· waiting for capture lock (1472s, held by pid 25647)
· waiting for capture lock (1483s, held by pid 25647)
· waiting for capture lock (1494s, held by pid 25647)
· waiting for capture lock (1505s, held by pid 25647)
· waiting for capture lock (1515s, held by pid 25647)
· waiting for capture lock (1526s, held by pid 25647)
· waiting for capture lock (1536s, held by pid 25647)
· waiting for capture lock (1547s, held by pid 25647)
· waiting for capture lock (1558s, held by pid 25647)
· waiting for capture lock (1568s, held by pid 25647)
· waiting for capture lock (1578s, held by pid 25647)
· waiting for capture lock (1588s, held by pid 25647)
· waiting for capture lock (1599s, held by pid 25647)
· waiting for capture lock (1609s, held by pid 25647)
· waiting for capture lock (1620s, held by pid 25647)
· waiting for capture lock (1630s, held by pid 25647)
· waiting for capture lock (1641s, held by pid 25647)
· waiting for capture lock (1652s, held by pid 25647)
· waiting for capture lock (1663s, held by pid 25647)
· waiting for capture lock (1674s, held by pid 25647)
· waiting for capture lock (1684s, held by pid 25647)
· waiting for capture lock (1695s, held by pid 25647)
· waiting for capture lock (1705s, held by pid 25647)
· waiting for capture lock (1716s, held by pid 25647)
· waiting for capture lock (1727s, held by pid 25647)
· waiting for capture lock (1738s, held by pid 25647)
· waiting for capture lock (1748s, held by pid 25647)
· waiting for capture lock (1759s, held by pid 25647)
