[20:25:22 +   0s] pristine: tree 7a4630875cac6e36 Kit 9ee3506f47a9 Lvl b2527f77f067 — anchors verified
[20:25:22 +   0s] chunk C1 (hero): acquiring capture lock (FIFO — politely behind whatever holds it)
[20:25:32 +  10s]   · waiting for capture lock (10s, held by pid 31114)
[20:25:43 +  21s]   · waiting for capture lock (20s, held by pid 31114)
[20:25:53 +  31s]   · waiting for capture lock (30s, held by pid 31114)
[20:26:03 +  41s]   · waiting for capture lock (41s, held by pid 31114)
[20:26:13 +  52s]   · waiting for capture lock (51s, held by pid 31114)
[20:26:24 +  62s]   · waiting for capture lock (61s, held by pid 31114)
[20:26:34 +  72s]   · waiting for capture lock (72s, held by pid 31114)
[20:26:44 +  83s]   · waiting for capture lock (82s, held by pid 31114)
[20:26:55 +  93s]   · waiting for capture lock (92s, held by pid 31114)
[20:27:05 + 103s]   · waiting for capture lock (103s, held by pid 31114)
[20:27:16 + 114s]   · waiting for capture lock (113s, held by pid 31114)
[20:27:26 + 124s]   · waiting for capture lock (124s, held by pid 31114)
[20:27:37 + 135s]   · waiting for capture lock (134s, held by pid 31114)
[20:27:47 + 145s]   · waiting for capture lock (145s, held by pid 31114)
[20:27:57 + 155s]   · waiting for capture lock (155s, held by pid 31114)
[20:28:07 + 166s]   · waiting for capture lock (165s, held by pid 31114)
[20:28:17 + 176s]   · waiting for capture lock (175s, held by pid 31114)
[20:28:28 + 186s]   · waiting for capture lock (186s, held by pid 31114)
[20:28:39 + 197s]   · waiting for capture lock (196s, held by pid 31114)
[20:28:49 + 208s]   · waiting for capture lock (207s, held by pid 31114)
[20:29:00 + 219s]   · waiting for capture lock (218s, held by pid 31114)
[20:29:10 + 229s]   · waiting for capture lock (228s, held by pid 31114)
[20:29:20 + 239s]   · waiting for capture lock (238s, held by pid 31114)
[20:29:31 + 249s]   · waiting for capture lock (249s, held by pid 31114)
[20:29:42 + 260s]   · waiting for capture lock (260s, held by pid 31114)
[20:29:52 + 271s]   · waiting for capture lock (270s, held by pid 31114)
[20:30:03 + 281s]   · waiting for capture lock (280s, held by pid 31114)
[20:30:13 + 291s]   · waiting for capture lock (291s, held by pid 31114)
[20:30:23 + 302s]   · waiting for capture lock (301s, held by pid 31114)
[20:30:34 + 312s]   · waiting for capture lock (311s, held by pid 31114)
[20:30:45 + 323s]   · waiting for capture lock (323s, held by pid 31114)
[20:30:56 + 334s]   · waiting for capture lock (333s, held by pid 31114)
[20:31:06 + 344s]   · waiting for capture lock (344s, held by pid 31114)
[20:31:16 + 355s]   · waiting for capture lock (354s, held by pid 31114)
[20:31:27 + 365s]   · waiting for capture lock (364s, held by pid 31114)
[20:31:38 + 376s]   · waiting for capture lock (375s, held by pid 31114)
[20:31:48 + 386s]   · waiting for capture lock (386s, held by pid 31114)
[20:31:58 + 397s]   · waiting for capture lock (396s, held by pid 31114)
[20:32:09 + 407s]   · waiting for capture lock (407s, held by pid 31114)
[20:32:20 + 418s]   · waiting for capture lock (417s, held by pid 31114)
[20:32:30 + 428s]   · waiting for capture lock (427s, held by pid 31114)
[20:32:40 + 438s]   · waiting for capture lock (438s, held by pid 31114)
[20:32:50 + 448s]   · waiting for capture lock (448s, held by pid 31114)
[20:33:01 + 459s]   · waiting for capture lock (458s, held by pid 31114)
[20:33:11 + 469s]   · waiting for capture lock (469s, held by pid 31114)
[20:33:22 + 480s]   · waiting for capture lock (480s, held by pid 31114)
[20:33:32 + 490s]   · waiting for capture lock (490s, held by pid 31114)
[20:33:42 + 501s]   · waiting for capture lock (500s, held by pid 31114)
[20:33:53 + 511s]   · waiting for capture lock (511s, held by pid 31114)
[20:34:03 + 521s]   · waiting for capture lock (521s, held by pid 31114)
[20:34:14 + 532s]   · waiting for capture lock (531s, held by pid 31114)
[20:34:24 + 542s]   · waiting for capture lock (542s, held by pid 31114)
[20:34:35 + 553s]   · waiting for capture lock (553s, held by pid 31114)
[20:34:45 + 564s]   · waiting for capture lock (563s, held by pid 31114)
[20:34:56 + 574s]   · waiting for capture lock (574s, held by pid 31114)
[20:35:07 + 586s]   · waiting for capture lock (585s, held by pid 31114)
[20:35:17 + 596s]   · waiting for capture lock (595s, held by pid 31114)
[20:35:28 + 606s]   · waiting for capture lock (606s, held by pid 31114)
[20:35:38 + 617s]   · waiting for capture lock (616s, held by pid 31114)
[20:35:49 + 628s]   · waiting for capture lock (627s, held by pid 31114)
[20:36:00 + 638s]   · waiting for capture lock (637s, held by pid 31114)
[20:36:10 + 649s]   · waiting for capture lock (648s, held by pid 31114)
[20:36:21 + 660s]   · waiting for capture lock (659s, held by pid 31114)
[20:36:32 + 670s]   · waiting for capture lock (670s, held by pid 31114)
[20:36:42 + 681s]   · waiting for capture lock (680s, held by pid 31114)
[20:36:53 + 691s]   · waiting for capture lock (691s, held by pid 31114)
[20:37:03 + 702s]   · waiting for capture lock (701s, held by pid 31114)
[20:37:14 + 712s]   · waiting for capture lock (711s, held by pid 31114)
[20:37:24 + 722s]   · waiting for capture lock (722s, held by pid 31114)
[20:37:34 + 733s]   · waiting for capture lock (732s, held by pid 31114)
[20:37:45 + 743s]   · waiting for capture lock (743s, held by pid 31114)
[20:37:55 + 754s]   · waiting for capture lock (753s, held by pid 31114)
[20:38:06 + 765s]   · waiting for capture lock (764s, held by pid 31114)
[20:38:17 + 775s]   · waiting for capture lock (774s, held by pid 31114)
[20:38:27 + 785s]   · waiting for capture lock (785s, held by pid 31114)
[20:38:37 + 796s]   · waiting for capture lock (795s, held by pid 31114)
[20:38:48 + 806s]   · waiting for capture lock (805s, held by pid 31114)
[20:38:58 + 816s]   · waiting for capture lock (816s, held by pid 31114)
[20:39:08 + 826s]   · waiting for capture lock (826s, held by pid 31114)
[20:39:18 + 837s]   · waiting for capture lock (836s, held by pid 31114)
[20:39:29 + 847s]   · waiting for capture lock (847s, held by pid 31114)
[20:39:39 + 858s]   · waiting for capture lock (857s, held by pid 31114)
[20:39:50 + 868s]   · waiting for capture lock (868s, held by pid 31114)
[20:40:00 + 878s]   · waiting for capture lock (878s, held by pid 31114)
[20:40:11 + 889s]   · waiting for capture lock (889s, held by pid 31114)
[20:40:22 + 900s]   · waiting for capture lock (899s, held by pid 31114)
[20:40:32 + 910s]   · waiting for capture lock (910s, held by pid 31114)
[20:40:42 + 920s]   · waiting for capture lock (920s, held by pid 31114)
[20:40:52 + 931s]   · waiting for capture lock (930s, held by pid 31114)
[20:41:02 + 941s]   · waiting for capture lock (940s, held by pid 31114)
[20:41:13 + 951s]   · waiting for capture lock (950s, held by pid 31114)
[20:41:23 + 961s]   · waiting for capture lock (961s, held by pid 31114)
[20:41:33 + 971s]   · waiting for capture lock (971s, held by pid 31114)
[20:41:43 + 982s]   · waiting for capture lock (981s, held by pid 31114)
[20:41:54 + 992s]   · waiting for capture lock (992s, held by pid 31114)
[20:42:05 +1003s]   · waiting for capture lock (1002s, held by pid 31114)
[20:42:15 +1014s]   · waiting for capture lock (1013s, held by pid 31114)
[20:42:26 +1025s]   · waiting for capture lock (1024s, held by pid 31114)
[20:42:37 +1035s]   · waiting for capture lock (1035s, held by pid 31114)
[20:42:47 +1046s]   · waiting for capture lock (1045s, held by pid 31114)
[20:42:57 +1056s]   · waiting for capture lock (1055s, held by pid 31114)
[20:43:07 +1066s]   · waiting for capture lock (1065s, held by pid 31114)
[20:43:18 +1076s]   · waiting for capture lock (1075s, held by pid 31114)
[20:43:28 +1087s]   · waiting for capture lock (1086s, held by pid 31114)
[20:43:39 +1097s]   · waiting for capture lock (1097s, held by pid 31114)
[20:43:50 +1109s]   · waiting for capture lock (1108s, held by pid 31114)
[20:44:01 +1120s]   · waiting for capture lock (1119s, held by pid 31114)
[20:44:12 +1130s]   · waiting for capture lock (1130s, held by pid 31114)
[20:44:23 +1141s]   · waiting for capture lock (1141s, held by pid 31114)
[20:44:34 +1152s]   · waiting for capture lock (1151s, held by pid 31114)
[20:44:44 +1163s]   · waiting for capture lock (1162s, held by pid 31114)
[20:44:55 +1173s]   · waiting for capture lock (1173s, held by pid 31114)
[20:45:06 +1184s]   · waiting for capture lock (1183s, held by pid 31114)
[20:45:16 +1194s]   · waiting for capture lock (1194s, held by pid 31114)
[20:45:27 +1205s]   · waiting for capture lock (1204s, held by pid 31114)
[20:45:37 +1215s]   · waiting for capture lock (1215s, held by pid 31114)
