# UNCONFIRMED HYPOTHESES — NOT A RANKING. Generated by the collision-vs-art census.
# Each row is a cell where the drawn art and the capsule-swept collision world disagree.
# NONE of these rows has been driven. A row is a claim about what an agent can do and only
# moving an agent settles it; three sibling rows were driven and their verdicts are in the
# round report. Do not act on a row here without driving it first.
# Probe: capsuleSweep (capsule 1.80 x 0.34) vs binned art triangles at y+0.3/0.9/1.5,
# reach 1.2 m, triviality floor 0.02 m. Vertical probes from y=300.
kind	agent	cells	cx	cz	y	depth_m	art_entry_m	art_exit_m	collision_dist_m	art_mesh	route	dir_x	dir_z
INVISIBLE	player	1	-38	-74	5.21	1.2	-1	-1	0			0	-1
INVISIBLE	player	1	-38	-72	5.17	1.2	-1	-1	0			0	-1
INVISIBLE	player	60	-33.65	-66.77	4.79	1.2	-1	-1	0			-1	0
INVISIBLE	player	5	-38	-55	3.71	0.12	1.32	1.32	1.08	sand_ring1		-1	0
INVISIBLE	player	1	-38	-46	3.25	1.19	-1	-1	0.01			0	-1
INVISIBLE	player	2	-37.5	-36	2.53	1.2	-1	-1	0			0	-1
INVISIBLE	player	1	-38	-30	2.37	1.2	-1	-1	0			0	-1
INVISIBLE	player	35	-33.06	-30.57	2.09	1.2	-1	-1	0			0	-1
INVISIBLE	player	192	-31.22	8.76	1.47	1.2	1.32	1.32	0	sand_ring0		-1	0
INVISIBLE	player	1	-38	18	1.36	1.2	-1	-1	0			1	0
INVISIBLE	player	1	-38	22	1.21	1.2	-1	-1	0			0	-1
INVISIBLE	player	6	-37.67	29.5	4.18	0.64	-1	-1	0.56			0	-1
INVISIBLE	player	9	-35.67	-74.89	5.28	1.2	-1	-1	0			0	-1
INVISIBLE	player	1	-37	-47	3.06	1.19	-1	-1	0.01			0	-1
INVISIBLE	player	1	-37	-24	2.03	1.2	-1	-1	0			0	-1
INVISIBLE	player	2	-36.5	-12	1.31	1.2	-1	-1	0			0	-1
INVISIBLE	player	1	-37	21	1.29	1.2	-1	-1	0			0	-1
INVISIBLE	player	1	-36	-56	2.84	1.19	-1	-1	0.01			0	-1
INVISIBLE	player	25	-30	-52.04	1.73	1.2	-1	-1	0			0	1
INVISIBLE	player	53	-31.83	-40.25	1.56	1.2	-1	-1	0			0	-1
INVISIBLE	player	1	-36	-4	1.22	1.2	-1	-1	0			1	0
INVISIBLE	player	1	-36	0	1.19	1.2	-1	-1	0			1	0
INVISIBLE	player	1	-36	28	1.13	1.2	-1	-1	0			0	-1
INVISIBLE	player	9	-35.22	34.78	1.01	1.2	-1	-1	0			1	0
INVISIBLE	player	11	-31.73	-23.91	1.37	1.2	-1	-1	0			1	0
INVISIBLE	player	1	-35	-21	1.41	1.19	1.37	1.37	0.01	sand_ring0		-1	0
INVISIBLE	player	1	-35	-1	1.21	1.2	-1	-1	0			1	0
INVISIBLE	player	1	-35	3	1.18	1.2	-1	-1	0			1	0
INVISIBLE	player	1	-35	27	1.17	1.19	-1	-1	0.01			0	-1
INVISIBLE	player	1	-35	31	1.02	1.2	-1	-1	0			1	0
INVISIBLE	player	1	-34	-78	5.47	1.2	-1	-1	0			1	0
INVISIBLE	player	1	-34	-26	1.44	1.18	1.69	1.69	0.02	sand_ring0		-1	0
INVISIBLE	player	1	-34	-22	1.33	1.19	1.76	1.76	0.01	sand_ring0		-1	0
INVISIBLE	player	1	-34	-14	1.1	1.2	-1	-1	0			-1	0
INVISIBLE	player	1	-34	-2	1.25	1.2	-1	-1	0			1	0
INVISIBLE	player	1	-34	2	1.22	1.19	2.39	2.39	0.01	sand_ring0		1	0
INVISIBLE	player	3	-33.33	5.67	1.31	1.19	-1	-1	0.01			1	0
INVISIBLE	player	1	-34	18	1.62	1.19	-1	-1	0.01			0	-1
INVISIBLE	player	1	-34	22	1.45	1.19	2.36	2.36	0.01	sand_ring0		1	0
INVISIBLE	player	1	-34	26	1.25	1.19	-1	-1	0.01			0	-1
INVISIBLE	player	1	-34	30	1.07	1.2	-1	-1	0			1	0
INVISIBLE	player	1	-34	34	1.17	1.19	-1	-1	0.01			1	0
INVISIBLE	player	1	-33	-35	1.47	1.19	2.21	2.21	0.01	sand_ring0		-1	0
INVISIBLE	player	1	-33	-3	1.3	1.2	-1	-1	0			1	0
INVISIBLE	player	1	-33	29	1.16	1.2	-1	-1	0			1	0
INVISIBLE	player	1	-32	-76	5.43	1.2	-1	-1	0			1	0
INVISIBLE	player	5	-30.8	-64.4	2.36	1.18	-1	-1	0.02			-1	0
INVISIBLE	player	6	-31.5	-60	1.51	1.19	-1	-1	0.01			0	-1
INVISIBLE	player	3	-31.33	-48.33	2.19	1.2	-1	-1	0			0	1
INVISIBLE	player	9	-29.56	-19.67	1.12	1.2	-1	-1	0			0	-1
INVISIBLE	player	1	-32	28	1.3	1.2	-1	-1	0			1	0
INVISIBLE	player	1	-31	-56	1.21	1.19	-1	-1	0.01			0	1
THROUGH-ART	player	1	-31	-56	1.21	2.09	0.13	2.22	1.2	sand_ring1		0	-1
THROUGH-ART	player	1	-31	-54	1.4	0.11	1.12	1.23	1.18	sand_ring1		0	1
INVISIBLE	player	1	-31	-29	1.45	1.19	-1	-1	0.01			0	-1
INVISIBLE	player	1	-30	-54	1.27	1.18	-1	-1	0.02			0	1
INVISIBLE	player	1	-30	-30	1.57	1.19	-1	-1	0.01			0	-1
INVISIBLE	player	1	-30	-22	1.43	1.2	1.89	1.89	0	sand_ring0		1	0
INVISIBLE	player	1	-30	-18	1.27	1.19	-1	-1	0.01			0	-1
INVISIBLE	player	1	-30	6	2.05	1.18	-1	-1	0.02			0	1
INVISIBLE	player	34	-24.47	-61	0.59	1.2	1.83	1.83	0	sand_ring1		0	-1
INVISIBLE	player	3	-28	-77	5.57	0.1	-1	-1	1.1			-1	0
INVISIBLE	player	15	-25.27	-70.73	5.07	1.2	-1	-1	0			-1	0
INVISIBLE	player	1	-28	-44	2.85	1.2	-1	-1	0			1	0
THROUGH-ART	player	1	-28	-41	2.8	0.1	0.71	0.81	1.2	sand_ring0		1	0
THROUGH-ART	player	3	-28	-38	2.6	0.17	0.65	0.82	1.2	sand_ring0		1	0
INVISIBLE	player	3	-25	-68	3.45	1.17	-1	-1	0.03			-1	0
INVISIBLE	player	5	-25.6	-63.4	1.06	1.15	1.48	1.48	0.05	sand_ring1		-1	0
INVISIBLE	player	25	-23.92	-55.04	0.04	1.2	-1	-1	0			1	0
INVISIBLE	neither	3	-26	-46	-0.03	0.54	-1	-1	0.66			0	-1
INVISIBLE	neither	1	-26	-43	0.09	0.48	-1	-1	0.72			0	-1
INVISIBLE	neither	1	-26	-41	0.1	0.48	-1	-1	0.72			0	1
INVISIBLE	neither	1	-26	-39	0.12	0.42	-1	-1	0.78			0	-1
INVISIBLE	neither	1	-26	-37	0.08	0.46	-1	-1	0.74			0	1
INVISIBLE	player	1	-26	-35	0.08	0.43	-1	-1	0.77			0	-1
INVISIBLE	player	1	-26	-33	0.11	0.45	-1	-1	0.75			0	1
INVISIBLE	player	1	-26	-31	0.11	0.47	-1	-1	0.73			0	-1
INVISIBLE	player	1	-26	-29	0.08	0.46	-1	-1	0.74			0	1
INVISIBLE	player	5	-26	-25	0.05	0.86	-1	-1	0.34			0	-1
INVISIBLE	player	1	-26	-21	-0.01	0.47	-1	-1	0.73			0	1
INVISIBLE	player	1	-26	-19	0	0.49	-1	-1	0.71			0	-1
INVISIBLE	player	2	-26	-16.5	0.03	0.52	-1	-1	0.68			1	0
THROUGH-ART	player	3	-25.33	10.33	-0.04	2.19	0.1	2.29	1.26	arch:court:mudbrick		0	1
INVISIBLE	player	85	-22.85	-0.68	8.93	1.2	-1	-1	0			1	0
INVISIBLE	player	27	-23.89	34.07	8.93	1.2	-1	-1	0			1	0
THROUGH-ART	player	1	-25	-55	-0.01	1.35	0.86	2.22	1.19	sand_ring1		0	1
INVISIBLE	player	1	-24	-76	4.87	1.2	2.15	2.15	0	sand_ring1		-1	0
INVISIBLE	player	1	-24	-64	1.46	1.18	-1	-1	0.02			1	0
THROUGH-ART	player	1	-24	-52	13	0.48	0.24	0.72	1.2	arch:hall:hieroglyph_gilded		1	0
THROUGH-ART	player	1	-24	-16	13	0.48	0.24	0.72	1.2	arch:hall:hieroglyph_gilded		1	0
INVISIBLE	player	2	-23	-73.5	4.74	0.12	1.52	1.52	1.08	sand_ring1		-1	0
INVISIBLE	player	100	-19.45	-37.91	-0.02	1.2	1.5	1.5	0	sand_ring1		0	-1
THROUGH-ART	player	1	-23	25	9	0.1	0.95	1.05	1.2	arch:court:bronze_dark		0	1
THROUGH-ART	player	1	-23	27	9	0.1	0.95	1.05	1.2	arch:court:bronze_dark		0	-1
THROUGH-ART	player	2	-21.5	-2	12.67	0.24	0.1	0.34	1.2	arch:court:sandstone_block		-1	0
INVISIBLE	player	13	-16.08	-0.92	14.75	1.2	-1	-1	0			0	1
INVISIBLE	player	46	-19.85	10.11	8.93	1.2	-1	-1	0			-1	0
INVISIBLE	player	11	-21.55	29.91	8.93	1.2	-1	-1	0			-1	0
INVISIBLE	player	1	-21	-78	3.45	0.25	-1	-1	0.95			0	-1
THROUGH-ART	player	6	-20.83	15.83	0	1.95	0.39	2.35	1.2	arch:court:sandstone_block		-1	0
INVISIBLE	player	1	-21	37	-0.01	1.19	-1	-1	0.01			-1	0
INVISIBLE	player	1	-20	-72	3.52	0.11	-1	-1	1.09			0	-1
INVISIBLE	player	20	-17.15	-67.15	2.75	1.2	1.87	1.87	0	sand_ring1		-1	0
INVISIBLE	player	1	-20	-12	0	0.18	1.37	2.1	1.02	props_bronze		0	1
INVISIBLE	player	1	-20	-8	0	0.18	1.37	2.05	1.02	props_bronze		0	-1
THROUGH-ART	player	2	-20	8.5	0	0.37	0.42	0.79	1.2	props_rope		0	1
THROUGH-ART	player	3	-18	38	0.63	1.96	0.01	1.97	1.2	arch:court:hieroglyph_wall		1	0
INVISIBLE	player	1	-18	-76	3.21	1.2	1.81	1.81	0	sand_ring1		-1	0
INVISIBLE	player+guard	1	-18	-10	0	0.19	1.36	2.08	1.01	props_bronze	courtyard_ring	-1	0
INVISIBLE	player+guard	1	-18	8	0	0.17	1.38	1.99	1.03	props_bronze	courtyard_ring	0	-1
INVISIBLE	player+guard	1	-18	20	0	0.18	1.37	2.09	1.02	props_bronze	courtyard_ring	0	1
INVISIBLE	player+guard	1	-18	24	0	0.18	1.37	2.08	1.02	props_bronze	courtyard_ring	0	-1
THROUGH-ART	player	4	-17.5	33.5	27.53	2.1	0.07	2.17	1.2	arch:court:hieroglyph_gilded		0	1
INVISIBLE	player	1	-18	34	27.53	0.11	1.43	1.44	1.09	arch:court:hieroglyph_gilded		1	0
INVISIBLE	player	1	-17	-71	2.83	0.06	1.78	1.78	1.14	sand_ring1		0	-1
INVISIBLE	player	2	-16.5	22	1.2	1.2	-1	-1	0			0	1
INVISIBLE	player	5	-16.8	36.4	12.91	1.19	1.82	1.87	0.01	arch:court:hieroglyph_wall		0	-1
